color;map
VINTAGE BROWN;BROWN
VINTAGE WHITE;WHITE
INDIGO BLUE;BLUE
SESAME;YELLOW
DARK GREY HEATHER;GREY
WASHED GREEN;GREEN
DUST BLUE;BLUE
ICE BLUE;BLUE
FLAT WHITE ELECTRIC BLUE;BLUE
VINTAGE GREY YELLOW;GREY
BLACK ISLAND GREEN;BLACK
FADED BLUE;BLUE
ORANGE/BLACK;ORANGE
ANTHRACITE;GREY
BURNT OLIVE;GREEN
GREY;GREY
PLUM;VIOLET
DESERT GREY;GREY
ORANGE;ORANGE
CREAM/ORANGE;WHITE
OLIVE;GREEN
WASHED GREY;GREY
YELLOW;YELLOW
DARK STONE;GREY
GOLD;YELLOW
NAUTICAL BLUE;BLUE
OLIVE;GREEN
CANDY;SONSTIGES
OCHRE;YELLOW
KIWI;GREEN
WHEAT;YELLOW
SCHWARZ;BLACK
GREEN/OFFWHITE;GREEN
BLUE/OFFWHITE;BLUE
BLACK/OFFWHITE;BLACK
BEIGE/BEIGE;BROWN
BLACK/BEIGE;BLACK
BLACK/OFF WHITE;BLACK
WHITE/BLACK;WHITE
ONYX BLACK;BLACK
CHECKERED STONE;GREY
DARK OLIVE;GREEN
WASHED OFFWHITE;WHITE
DYED BLUE;BLUE
STRONG BLUE;BLUE
WASHED DARK BEIGE;BROWN
WASHED PURPLE;VIOLET
WASHED DARK BEIGE;BROWN
NAVY/RED;BLUE
FADED PINK;RED
MUD GREEN;GREEN
WASHED INDIGO;BLUE
ROSE;RED
NARDO GREY;GREY
WHITE/GREEN;WHITE
WASHED STONE GREY;GREY
FADED DESERT;YELLOW
DARK HEATHER;GREY
WASHED ONYX;BROWN
HEAVY WASHED BLACK;GREY
DUSTY BLUE;BLUE
YELLOW/RED;YELLOW
FADED SNAKES;BROWN
OFFWHITE;WHITE
LIGHT GREY MELANGE;GREY
WILLOW;YELLOW
WASHED ANTHRA;GREY
CREME;WHITE
GREEN GREY;GREEN
NAVY;BLUE
BLUE;BLUE
BROWN;BROWN
WASHED GREEN;GREEN
MINT;GREEN
LIGHT BLUE;BLUE
WASHED RUST BLACK;BLACK
PETROL;BROWN
BLACK/RED;BLACK
DARKGREY;GREY
DEFAULT TITLE;SONSTIGES
BRUSHED SILVER;GREY
BRUSHED GOLD;YELLOW
CLEAR;GREY
BLACK/WHITE;BLACK
BLACK/PURPLE;BLACK
CREAM/BLACK;WHITE
PINK LEMONADE;VIOLET
LIGHT BLUE/NAVY;BLUE
WHITE/DARK GREEN;WHITE
CREAM/ORANGE;WHITE
CREAM/BORDEAUX;WHITE
YELLOW/BROWN;YELLOW
DARK GREEN/CREAM;GREEN
WHITE/BLUE;WHITE
WHITE/PURPLE;WHITE
GREY/BLACK;GREY
WHITE/CREAM;WHITE
YELLOW/OLIVE;YELLOW
WHITE/NAVY;WHITE
WHITE;WHITE
SPICY MANGO;YELLOW
BURNT CHERRY;RED
BLACK SMOKE;BLACK
MIDNIGHT;BLUE
SKYWAY;BLUE
WHITE/DEEP PURPLE;WHITE
LIGHT GREY/DARK GREY;GREY
CREAM/PURPLE;WHITE
POWDER BLUE;BLUE
BLACK BLUE;BLACK
BLACK BROWN;BLACK
TORTOISE SHELL;BROWN
CREAM RACING GREEN;WHITE
CREAM MUSHROOM;WHITE
KHAKI CREAM;GREEN
BLACK/OFFWHITE;BLACK
BROWN/GOLD;BROWN
VINTAGE WHITE/BLACK;WHITE
CREAM POWDER BLUE;BLUE
BUTTERCREME/NAVY;YELLOW
CLAY;BROWN
GLASS;SONSTIGES
BUTTERCREAM/BLUE;WHITE
BUTTERCREAM/GREEN;WHITE
ROYAL BLUE;BLUE
WHITE/LIGHT PURPLE;WHITE
WHITE/BORDEAUX;WHITE
